id;nom;adresse;telephone;n_client
1;reciprocal withdrawal;synthesize compressing;"6";77851
2;parse compressing;plug-and-play envisioneer c;"5";36278
3;a interfaces;Handcrafted iterate PNG;"0";60726
4;compressing d'Abbeville Jewelery;parsing Licensed morph;"7";43375
5;Account Concrete;web;"6";69585
6;Savings grey connect;Licensed;"0";10334
7;paradigms transitional Multi-layered;parsing orange copying;"5";32891
8;haptic;de;"9";90895
9;Enhanced;Granite Agent overriding;"3";62983
10;Plastic Small;Automotive Fantastic Ball;"2";17241
